identity,n,budget,cutoff_tie_rows,selected_from_cutoff_tie,cutoff_tie_positive,tie_p5_min,tie_p5_max,roc_auc_archived,roc_auc_unified,roc_auc_delta,ap_archived,ap_unified,ap_delta,f1_val_threshold_archived,f1_val_threshold_unified,f1_val_threshold_delta,p_at_5pct_archived,p_at_5pct_unified,p_at_5pct_delta,r_at_10fpr_archived,r_at_10fpr_unified,r_at_10fpr_delta,p5_difference_preserved_not_silently_overwritten
ORIGINAL_GCN_M11_seed456,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.6315567439096851,0.6315567439096852,1.1102230246251565e-16,0.0040356941025054705,0.0040356941025054705,0.0,0.0,0.0,0.0,0.002369668246445498,0.002369668246445498,0.0,0.2,0.2,0.0,False
ORIGINAL_GCN_M11_seed789,8435,422,1,1,0,0.0,0.0,0.5759714795008913,0.5759714795008912,-1.1102230246251565e-16,0.003272434557670855,0.003272434557670856,8.673617379884035e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,False
ORIGINAL_GCN_M11_seed1024,8435,422,1,1,0,0.004739336492890996,0.004739336492890996,0.6951336898395721,0.6951336898395721,0.0,0.004912993865253621,0.004912993865253621,0.0,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.0,0.25,0.25,0.0,False
ORIGINAL_MLP_M11_seed42,8435,422,1,1,0,0.016587677725118485,0.016587677725118485,0.8377183600713013,0.8377183600713012,-1.1102230246251565e-16,0.011571361523068953,0.011571361523068953,0.0,0.011834319526627219,0.011834319526627219,0.0,0.016587677725118485,0.016587677725118485,0.0,0.45,0.45,0.0,False
ORIGINAL_MLP_M11_seed123,8435,422,1,1,0,0.009478672985781991,0.009478672985781991,0.8125252525252525,0.8125252525252524,-1.1102230246251565e-16,0.01004467880902027,0.01004467880902027,0.0,0.011299435028248588,0.011299435028248588,0.0,0.009478672985781991,0.009478672985781991,0.0,0.45,0.45,0.0,False
ORIGINAL_MLP_M11_seed456,8435,422,1,1,0,0.016587677725118485,0.016587677725118485,0.8422162804515746,0.8422162804515746,0.0,0.01049146610737858,0.010491466107378581,1.734723475976807e-18,0.015037593984962405,0.015037593984962405,0.0,0.016587677725118485,0.016587677725118485,0.0,0.45,0.45,0.0,False
ORIGINAL_MLP_M11_seed789,8435,422,1,1,0,0.014218009478672985,0.014218009478672985,0.825103980986334,0.825103980986334,0.0,0.011431395380859393,0.011431395380859393,0.0,0.022304832713754646,0.022304832713754646,0.0,0.014218009478672985,0.014218009478672985,0.0,0.4,0.4,0.0,False
ORIGINAL_MLP_M11_seed1024,8435,422,1,1,0,0.016587677725118485,0.016587677725118485,0.8418775995246583,0.8418775995246583,0.0,0.011150926211770235,0.011150926211770235,0.0,0.012121212121212121,0.012121212121212121,0.0,0.016587677725118485,0.016587677725118485,0.0,0.45,0.45,0.0,False
ORIGINAL_RGCN_G6_seed42,8435,422,1,1,0,0.002369668246445498,0.002369668246445498,0.43546642899584076,0.4354664289958408,5.551115123125783e-17,0.002242765028304135,0.002242765028304135,0.0,0.0,0.0,0.0,0.002369668246445498,0.002369668246445498,0.0,0.05,0.05,0.0,False
ORIGINAL_RGCN_G6_seed123,8435,422,1,1,0,0.0,0.0,0.4760457516339869,0.47604575163398694,5.551115123125783e-17,0.0021787709437858086,0.002178770943785809,4.336808689942018e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
ORIGINAL_RGCN_G6_seed456,8435,422,1,1,0,0.0,0.0,0.3989067142008319,0.3989067142008318,-1.1102230246251565e-16,0.0019583679389886146,0.0019583679389886146,0.0,0.0018709073900841909,0.0018709073900841909,0.0,0.0,0.0,0.0,0.05,0.05,0.0,False
ORIGINAL_RGCN_G6_seed789,8435,422,1,1,0,0.0,0.0,0.5094771241830065,0.5094771241830066,1.1102230246251565e-16,0.0024275993745373863,0.0024275993745373863,0.0,0.00424757281553398,0.00424757281553398,0.0,0.0,0.0,0.0,0.1,0.1,0.0,False
